collection_date,search_term,video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
2026-07-07 15:53:10,cooking,wnNZtqTechk,Mystery Cooking Challenge,cooking #challenge #enolaholmes3.,Nick DiGiovanni,2026-07-07 16:00:04+00:00,939466,63459,1180,0,PT30S,hd,True
2026-07-07 15:53:10,cooking,j19HFPplMQ0,Knife Skills Progression,MrBeast @MarkRober @ryan.,Nick DiGiovanni,2025-07-25 16:01:19+00:00,113832802,1484719,9096,0,PT24S,hd,True
2026-07-07 15:53:10,cooking,hziqTqnleM0,I Cooked Every Bird in the World,Check out MaxJerky here! https://www.maxjerky.com/pages/all-products ————— SUBSCRIBE and RING THE BELL to get ...,Max the Meat Guy,2025-05-23 18:39:15+00:00,72877643,3252614,42535,0,PT2M57S,hd,False
2026-07-07 15:53:10,cooking,d9fnohzmI08,Cooking Steak in the Rain | Wild Alaska Forest,"Caught in the rain deep in the Alaskan forest, I decided to keep cooking no matter what. In this video, I prepare a juicy steak over ...",OLEKSII WILD COOKING,2026-05-04 13:01:11+00:00,657968,8268,295,0,PT17M46S,hd,False
2026-07-07 15:53:10,cooking,kYwTNWfMbYs,These scare me #cooking #food #foodasmr #recipe,,Louis Gantus,2024-03-08 20:04:16+00:00,40276179,0,9210,0,PT58S,hd,False
2026-07-07 15:53:10,cooking,UGlUEztkJF0,Trying 3 American School Lunches,,Chef Tyler,2025-10-18 14:35:03+00:00,128874572,3034491,18514,0,PT51S,hd,False
2026-07-07 15:53:10,cooking,9SGLviW38ok,Don't just boil instant noodles! My mom taught me how to make this dish with eggs!,"Don't just boil instant noodles! My mom taught me how to make this dish with eggs! With just instant noodles and eggs, you can ...",Cooking Corner,2025-12-23 01:55:52+00:00,4932658,32403,1920,0,PT10M2S,hd,True
2026-07-07 15:53:10,cooking,r8tN7R2sjHA,How to Cook a Fourth of July BBQ From Start to Finish | Allrecipes,"Fire up the grill and get ready to make the ultimate Fourth of July BBQ from start to finish! In this all-American cookout guide, ...",Allrecipes,2026-07-01 16:00:26+00:00,457611,16778,599,0,PT26M,hd,False
2026-07-07 15:53:10,cooking,Js8ELK49kjs,"5 Lazy Dinners for When You’re Too Tired to Cook (One-Pan, Slow Cooker & More) | Allrecipes",Looking for lazy spring dinners that basically cook themselves? These 5 low-effort recipes bring big flavor with barely any prep ...,Allrecipes,2026-04-07 16:00:26+00:00,1124703,32903,754,0,PT16M55S,hd,False
2026-07-07 15:53:10,cooking,Ka6LgwqNAss,Alton Brown Cooks Food | Episode 31: Side Game,"Guys - our side game is losing its luster. This week I offer my take on my holy trinity. How I make them and of course, a wee bit of ...",Alton Brown,2026-07-04 13:00:37+00:00,327985,17434,1642,0,PT37M19S,hd,False
2026-07-07 15:53:10,cooking,alg9ydZDre0,Fast food burrito showdown #recipe #cooking #foodasmr #food,,Louis Gantus,2025-10-15 18:46:54+00:00,19112998,0,3223,0,PT51S,hd,False
2026-07-07 15:53:10,cooking,K8yHbtPm6EI,5 Easy Slow Cooker Recipes For When It's Too Hot to Cook | Allrecipes,"Looking for fresh, flavorful dinners that practically cook themselves? In this video, Nicole shares five easy slow cooker recipes that ...",Allrecipes,2026-06-18 16:00:24+00:00,453711,18919,332,0,PT18M11S,hd,False
2026-07-07 15:53:10,cooking,1e_KgK1TI48,THE REAL SPAGHETTI O’S ​@cookingwithkian,,QCP,2024-02-06 20:09:34+00:00,311672606,6653482,19491,0,PT44S,hd,False
2026-07-07 15:53:10,cooking,i0_15UnnDSk,Cooking lunch for @IanKyo,,Chef Tyler,2026-05-31 13:40:32+00:00,9943845,330867,1169,0,PT45S,hd,False
2026-07-07 15:53:10,cooking,pKtweGSC2FU,20 Quick & Healthy Recipes To Cook At Home | Jamie Oliver,Jamie Oliver shows you 20 healthy recipes to cook at home! 00:00 Lemon Tahini Chicken & Charred Broccoli 10:00 Spiced ...,Jamie Oliver,2026-06-24 15:00:34+00:00,76976,1238,38,0,PT2H3M44S,hd,True
2026-07-07 15:53:10,cooking,yysVLFQYQeI,Making Tacos for my “Girlfriend”,,QCP,2024-09-17 17:16:56+00:00,42490625,749573,5215,0,PT48S,hd,False
2026-07-07 15:53:10,cooking,55fz_1BvtKk,I Cooked Every INVASIVE Animal,"Today we're cooking the most destructive species in the world... from burmese python to wild boar, bullfrog, rats, and more... these ...",Max the Meat Guy,2026-06-21 15:14:32+00:00,4100455,79260,5444,0,PT47M43S,hd,False
