collection_date,search_term,video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
2026-07-07,data analytics,yZvFH7B6gKI,What Is Data Analytics? - An Introduction (Full Guide),Curious about a career in Data Analytics? Book a call with a program advisor: https://bit.ly/47LEBk3 What exactly is data analytics ...,CareerFoundry,2021-03-25T13:13:45Z,2164940,50909,922,0,PT9M4S,hd,true
2026-07-07,data analytics,aUTfF62Pdlw,"Data Analyst Full Guide 2026 (FREE) | Skills, SQL, Power BI, Portfolio & AI #dataanalyst #analytics",Thinking of becoming a Data Analyst in 2026? Before spending ₹1.5 Lakhs on expensive courses or blindly following random ...,Sarven N,2026-06-16T12:30:31Z,19505,825,151,0,PT10M4S,hd,false
2026-07-07,data analytics,dJA7k58zlA8,How I'd become a data analyst (if i had to start over) in 2026,Data Analyst Roadmap 2026. A data analyst career path can be broken down into 3 simple steps with timelines so that it's easy to ...,Agatha,2024-01-12T14:00:27Z,1182947,54449,1442,0,PT8M57S,hd,true
2026-07-07,data analytics,7boq1lWlTxE,Data Analyst Roadmap 2026 | DO NOT Learn Data Analytics Without Watching This!,"If you want to become a Data Analyst and build a rewarding data analytics career, this video is your complete step-by-step ...",Akber Shaikh,2025-10-10T12:30:13Z,401667,18391,542,0,PT9M38S,hd,false
2026-07-07,data analytics,YRJbhFLLPyE,The Complete Data Analyst Roadmap,Go from zero to a data analyst in 8-16 months. This step-by-step roadmap covers the essential skills you must learn to become a ...,Programming with Mosh,2024-08-06T13:00:37Z,760353,19359,371,0,PT4M8S,hd,false
2026-07-07,data analytics,SfE3aO3LWi0,I started my data analyst career taking these beginner courses,This video is specifically for anyone who is new to the data analysis field and looking to have an idea of what competences are ...,Wale Gbads,2021-05-11T19:28:57Z,597031,26849,1560,0,PT8M16S,hd,true
2026-07-07,data analytics,kghcAk7l6eA,Introduction to Data Analysis with Excel: 2-Hour Training Tutorial,Download the free course exercise files to follow along ...,Simon Sez IT,2023-03-07T16:00:09Z,839351,14098,328,0,PT1H53M40S,hd,false
2026-07-07,data analytics,4x4YI3chd6A,The FASTEST Data Analyst Roadmap for Career Changers in 2026 [FREE COURSE],"Work with me to launch your new data career: https://bit.ly/4gbSqhA I'm a self taught data scientist and founder of Data in Motion, ...",Kedeisha Bryan - Your Data Career Coach,2025-04-09T21:00:49Z,21926,1028,91,0,PT57M7S,hd,false
2026-07-07,data analytics,pCJ15nGFgVg,Excel for Data Analytics - Full Course for Beginners,"FREE Course Files & Projects https://lukeb.co/excel_files Supporter Access: Problems, Certificate, & More ...",Luke Barousse,2024-10-14T12:01:06Z,3121886,74343,4028,0,PT10H59M43S,hd,false
2026-07-07,data analytics,gcF31GuwSEs,What Is Data Analytics? | Data Analytics Explained | Data Analytics In 8 Minutes | Simplilearn,"""️  IBM - Data Analyst ...",Simplilearn,2024-12-17T14:30:18Z,23822,539,58,0,PT7M34S,hd,false
2026-07-07,data analytics,_g5roKHj95o,Master Data Analysis on Excel in Just 10 Minutes,AD: Sign up to enroll for a 7-day free trial with Coursera now!,Kenji Explains,2023-02-26T18:45:01Z,3258339,66267,779,0,PT11M32S,hd,true
2026-07-07,data analytics,rcL7C5YzHR8,Beginner to PRO Data Analysis with Excel - FREE Adv. Masterclass in TELUGU,"Want to learn how to perform data analysis in Excel from beginning to end? This is the video! In this video, you are going to learn: ...",Chandoo - Tech in Telugu,2024-03-28T07:00:30Z,613265,19116,505,0,PT36M4S,hd,false
2026-07-07,data analytics,dcXqhMqhZUo,Data Analytics vs Data Science,Explore analytics tools and solutions → https://ibm.biz/BdSPGc Are you interested in data science? And have you heard of data ...,IBM Technology,2023-11-08T12:00:38Z,760153,15077,244,0,PT6M30S,hd,true
2026-07-07,data analytics,Hk4rRvmZPQ8,Data Analyst Roadmap 2026 | The NEW Way To Become a Data Analyst,Free 3-Step Data Analytics Roadmap & SQL Course ⬇️ FREE 3-Step Data Analytics Roadmap ...,"Jess Ramos | Data, AI, & Tech ⚡️",2025-10-07T18:51:03Z,85919,3448,162,0,PT10M53S,hd,false
2026-07-07,data analytics,rGx1QNdYzvs,FREE Data Analyst Bootcamp!!,Take my Full Courses and Practice Technical Question on Analyst Builder: https://www.analystbuilder.com/ Link to Data Analyst ...,Alex The Analyst,2023-02-07T12:30:11Z,2838107,60698,2560,0,PT6M52S,hd,false
2026-07-07,data analytics,cnjhHZNJEDk,"2026 FREE Data Analyst Bootcamp [24 Hours+] for FREE | SQL, Excel, Python, Power BI, GitHub, AWS",Check out all my Full Courses on Analyst Builder: https://www.analystbuilder.com/ 25% Off Analyst Builder Code: BOOTCAMP In ...,Alex The Analyst,2026-05-19T12:30:29Z,426315,18809,1053,0,P1DT4H41M8S,hd,false
2026-07-07,data analytics,_8GBpihMjfI,There's No More Data Analyst Jobs…Now What?,"Work with me 1:1: https://bit.ly/4pbHrc2 Think there are no more data analyst jobs? That's a lie keeping you stuck. In this video, I ...",Kedeisha Bryan - Your Data Career Coach,2025-07-15T13:26:19Z,100021,4167,172,0,PT8M4S,hd,false
