Feature,Importance
Published Year,0.3366781450971776
Duration (Minutes),0.24553112302840086
Published Month,0.13224142417178125
Search Topic: Data Analytics,0.09459575559719872
Search Topic: Cooking,0.06494537647456039
Search Topic: Fitness,0.04497047774811407
Search Topic: Python Programming,0.02246055018380743
Search Topic: Minecraft,0.017285207091128556
Search Topic: Travel,0.012366346336257881
Search Topic: Finance,0.009941129584211299
Search Topic: Fortnite,0.006941878323787238
Caption: Yes,0.004911162241572294
Caption: No,0.004709948075315706
Definition: SD,0.0013895271298749285
Definition: HD,0.0010319489168116895
